itemid,origin,label,LEVEL1,LEVEL2,Notes,Notes 2,icd_version
228560,chartevents,incision #2- location,,Incision,,,
228561,chartevents,incision #3- location,,Incision,,,
228562,chartevents,incision #4- location,,Incision,,,
228563,chartevents,incision #5- location,,Incision,,,
228564,chartevents,incision #6- location,,Incision,,,
229015,chartevents,incision #7- location,,Incision,,,
229016,chartevents,incision #8- location,,Incision,,,
229017,chartevents,incision #9- location,,Incision,,,
229018,chartevents,incision #10- location,,Incision,,,
229523,procedureevents,subdural drain,,Drains,,,
229524,procedureevents,lumbar drain,,Drains,,,
008880,prescriptions,Penicillin V Potassium,,Active penicillin orders,"For real filtering, might be good to do filtering with name instead of ID since there may be more types. ",,
009328,prescriptions,Vancomycin,,Active vancomycin orders,,,
009329,prescriptions,Vancomycin,,Active vancomycin orders,"instead of itemid, including the gsn code",,
009331,prescriptions,Vancomycin,,Active vancomycin orders,,,
020611,prescriptions,Vancomycin,,Active vancomycin orders,"Different names of vancomycin don't necessarily correspond to a change in gsn, but other names include ""Vancomycin"", ""Vancomycin Intraventricular"", ""Vancomycin Oral Liquid"", ""Vancomycin Enema"", ""Vancomycin Antibiotic Lock""",,
043350,prescriptions,Penicillin G Benzathine,,Active penicillin orders,,,
43952,prescriptions,Vancomycin,,Active vancomycin orders,,,
067111,prescriptions,Vancomycin,,Active vancomycin orders,"instead of itemid, including the gsn code",,
age,static,,,age,,,
B20,diagnoses_icd,ICD-10,HIV,HIV,Did not include Type-2,,10.0
E10,diagnoses_icd,ICD-10,Type 1 diabetes mellitus,Diabetes,Chose root category with 100+ subcategories,"ICD-9 codes for diabetes start with 250x, but no larger general encompassing category",10.0
E11,diagnoses_icd,ICD-10,Type 2 diabetes mellitus,Diabetes,Chose root category with 100+ subcategories,,10.0
E66,diagnoses_icd,ICD-10,Overweight and obesity,Obesity,Selected root category,,10.0
ethnicity,static,,,ethnicity,,,
I10,diagnoses_icd,ICD-10,Essential (primary) hypertension,Hypertension,"Not sure if this is the right key, since it seems to only contain itself. Should secondary hypertension be included?","ICD-9 codes start with 401x, but no larger general encompassing category. ",10.0
I12,diagnoses_icd,ICD-10,Hypertensive chronic kidney disease,Chronic Kidney Disease,,,10.0
I13,diagnoses_icd,ICD-10,Hypertensive heart and chronic kidney disease,Chronic Kidney Disease,"No general kidney disease, only hypertensive",,10.0
I251,diagnoses_icd,ICD-10,Atherosclerotic heart disease of native coronary artery,Coronary Artery Disease,Selected root category -- see Level 1 label for correctness,,10.0
I502,diagnoses_icd,ICD-10,Systolic (congestive) heart failure,Congestive Heart Failure,"ICD-10's divided into 3 sections, included all 3 here. Selected based on ""congestive""",,10.0
I503,diagnoses_icd,ICD-10,Diastolic (congestive) heart failure,Congestive Heart Failure,,,10.0
I504,diagnoses_icd,ICD-10,Combined systolic (congestive) and diastolic (congestive) heart failure,Congestive Heart Failure,,,10.0
J44,diagnoses_icd,ICD-10,Other chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease (COPD),,,10.0
K76,diagnoses_icd,ICD-10,Other diseases of liver,Chronic Liver Disease,"Could not find specifically chronic liver disease for ICD-10. ICD-9 label is of chronic disease, so not directly transferrable to ICD-10 here. ",,10.0
marital_status,static,,,marital status,,,
gender,static,,,sex,,,
