itemid,origin,label,LEVEL1,LEVEL2,Notes,Notes 2,icd_version
I13,diagnoses_icd,ICD-10,Hypertensive heart and chronic kidney disease,Chronic Kidney Disease,"No general kidney disease, only hypertensive",,10.0
I12,diagnoses_icd,ICD-10,Hypertensive chronic kidney disease,Chronic Kidney Disease,,,10.0
5719,diagnoses_icd,ICD-9,Unspecified chronic liver disease without mention of alcohol,Chronic Liver Disease,,,9.0
K76,diagnoses_icd,ICD-10,Other diseases of liver,Chronic Liver Disease,"Could not find specifically chronic liver disease for ICD-10. ICD-9 label is of chronic disease, so not directly transferrable to ICD-10 here. ",,10.0
E11,diagnoses_icd,ICD-10,Type 2 diabetes mellitus,Diabetes,Chose root category with 100+ subcategories,,10.0
E10,diagnoses_icd,ICD-10,Type 1 diabetes mellitus,Diabetes,Chose root category with 100+ subcategories,"ICD-9 codes for diabetes start with 250x, but no larger general encompassing category",10.0
I10,diagnoses_icd,ICD-10,Essential (primary) hypertension,Hypertension,"Not sure if this is the right key, since it seems to only contain itself. Should secondary hypertension be included?","ICD-9 codes start with 401x, but no larger general encompassing category. ",10.0
224264,procedureevents,PICC Line,,Peripherally inserted central catheters,"PICCs only include 'PICC Line' (see note for CVCs for exclusions). Chartevents also contain various events used to note details about a CVC/PICC, these are all excluded.",,
225315,procedureevents,Tunneled (Hickman) Line,,Central venous catheters,"CVCs only include 'Tunneled (Hickman) Line' (excluded are ports, dialysis catheters, midline, multi lumen, pa catheter and many more. Excluded itemids: 224263        224267        224268        224269        224270        224272        224273        224560        225199        225202        225203        225204        225205        225761        225789        226124        227719        228169        228201        228202        228286 )",,
225447,procedureevents,percutaneous drain insertion,,Drains,Only insertion of drains included (removal with itemids 227711 and 227714 excluded),,
225456,procedureevents,ventricular drain,,Drains,,,
226475,procedureevents,intraventricular drain inserted,,Drains,,,
229523,procedureevents,subdural drain,,Drains,,,
229524,procedureevents,lumbar drain,,Drains,,,
,,,,Endotracheal tube,"Can't find specifically endotracheal. Not included: chest tube, gi tube, blakemore/minnesota tube, small bore nasal enteral tube, gastric tube, tracheostomy, general intubations",,
224007,chartevents,gi #1 intub site,,Feeding tube,Chose intubation site as surrogate for whether a feeding tube was placed,,
224441,chartevents,gi #2 intub site,,Feeding tube,,,
224442,chartevents,gi #3 intub site,,Feeding tube,,,
227472,chartevents,incision site #1,,Incision,"Chose locations of incisions as surrogate for whether there was an incision (instead of 'cleanse', 'treatment', 'dressing status', 'appearance')",,
227473,chartevents,incision site #2,,Incision,,,
227474,chartevents,incision site #3,,Incision,,,
227475,chartevents,incision site #4,,Incision,,,
227476,chartevents,incision site #5,,Incision,,,
227477,chartevents,incision site #6,,Incision,,,
228559,chartevents,incision #1- location,,Incision,,,
228560,chartevents,incision #2- location,,Incision,,,
228561,chartevents,incision #3- location,,Incision,,,
228562,chartevents,incision #4- location,,Incision,,,
228563,chartevents,incision #5- location,,Incision,,,
228564,chartevents,incision #6- location,,Incision,,,
229015,chartevents,incision #7- location,,Incision,,,
229016,chartevents,incision #8- location,,Incision,,,
229017,chartevents,incision #9- location,,Incision,,,
229018,chartevents,incision #10- location,,Incision,,,
228506,chartevents,pressure ulcer #1- location,,Pressure Ulcers,Chose locations of pressure ulcers as surrogate for presence of pressure ulcer,,
228507,chartevents,pressure ulcer #2- location,,Pressure Ulcers,,,
228508,chartevents,pressure ulcer #3- location,,Pressure Ulcers,,,
228509,chartevents,pressure ulcer #4- location,,Pressure Ulcers,,,
228510,chartevents,pressure ulcer #5- location,,Pressure Ulcers,,,
228511,chartevents,pressure ulcer #6- location,,Pressure Ulcers,,,
228512,chartevents,pressure ulcer #7- location,,Pressure Ulcers,,,
228513,chartevents,pressure ulcer #8- location,,Pressure Ulcers,,,
228514,chartevents,pressure ulcer #9- location,,Pressure Ulcers,,,
228515,chartevents,pressure ulcer #10- location,,Pressure Ulcers,,,
008880,prescriptions,Penicillin V Potassium,,Active penicillin orders,"For real filtering, might be good to do filtering with name instead of ID since there may be more types. ",,
043350,prescriptions,Penicillin G Benzathine,,Active penicillin orders,,,
043952,prescriptions,Vancomycin,,Active vancomycin orders,,,
009331,prescriptions,Vancomycin,,Active vancomycin orders,,,
009328,prescriptions,Vancomycin,,Active vancomycin orders,,,
009329,prescriptions,Vancomycin,,Active vancomycin orders,"instead of itemid, including the gsn code",,
067111,prescriptions,Vancomycin,,Active vancomycin orders,"instead of itemid, including the gsn code",,
020611,prescriptions,Vancomycin,,Active vancomycin orders,"Different names of vancomycin don't necessarily correspond to a change in gsn, but other names include ""Vancomycin"", ""Vancomycin Intraventricular"", ""Vancomycin Oral Liquid"", ""Vancomycin Enema"", ""Vancomycin Antibiotic Lock""",,
